2,2,0,1,1,0,1,2,2,1,2,1,1,1,0,0,1,0,2,5,3,0,1,1,0,1,0,4,2,1
1,3,3,1,1,2,2,3,3,3,3,1,2,2,3,2,3,1,3,1,3,2,2,3,3,3,1,3,1,2
3,2,2,2,3,3,0,2,3,0,1,3,1,2,2,2,0,1,0,3,3,0,2,0,3,1,2,3,3,0
8,8,8,7,6,7,8,8,7,8,7,7,7,6,7,7,6,7,9,7,6,7,7,7,7,8,6,11,6,6
0,0,1,0,1,1,0,1,1,1,0,2,0,0,1,0,1,1,0,2,0,0,0,0,1,1,0,1,1,0
1,1,3,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
2,4,4,3,3,2,3,3,5,5,4,5,6,2,4,3,4,5,2,3,4,5,2,4,5,6,2,5,4,4
1,0,1,3,2,2,0,1,2,0,1,2,3,1,0,1,1,2,1,2,2,1,2,2,2,2,1,0,3,2
3,3,2,1,4,4,4,3,4,1,2,4,1,4,3,3,4,3,1,3,4,3,1,4,3,1,2,4,3,4
1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,2,1,2,1,1,1,0,0,0,0,0,1
0,2,1,2,0,0,0,1,3,4,0,1,0,1,1,0,2,2,2,2,1,4,2,0,1,0,2,1,0,1
0,1,1,1,1,1,2,0,1,1,1,0,1,1,1,2,1,1,2,0,2,0,0,2,0,0,0,2,1,1
0,1,0,2,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,1,0,1,0,0
17,17,12,12,40,15,16,12,18,16,14,18,14,13,14,17,16,15,14,14,13,17,18,13,16,17,13,17,13,16
1,0,1,0,1,0,1,0,1,1,1,0,2,3,1,2,0,1,0,1,1,0,1,1,0,0,1,3,2,1
3,3,5,2,2,1,5,2,2,1,3,1,1,3,1,2,2,3,1,1,2,1,3,2,1,3,1,2,1,1
1,3,1,2,1,3,2,1,1,1,1,1,3,2,4,2,3,3,2,2,1,1,2,1,3,1,2,1,2,2
2,0,0,2,0,1,2,2,1,0,0,2,2,1,0,0,2,2,1,1,0,3,0,1,1,0,0,0,0,0
3,6,2,6,2,4,3,7,4,7,6,5,2,7,2,6,7,3,5,3,2,3,6,7,4,3,3,4,4,2
0,1,1,0,0,0,1,1,0,1,1,2,1,0,0,1,0,2,0,0,1,0,0,0,1,0,0,2,1,0
12,12,18,19,32,9,16,20,8,13,15,21,23,11,18,14,12,10,21,19,8,15,33,9,23,28,18,22,23,20
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
